conceptId,conceptName
2933728,aspirin 100 MG / clopidogrel 75 MG Delayed Release Oral Tablet Box of 98 by Apotex
2933752,aspirin 100 MG / clopidogrel 75 MG Delayed Release Oral Tablet by APO
2933753,aspirin 100 MG / clopidogrel 75 MG Delayed Release Oral Tablet by Apotex
42949872,Aspirin 100 MG / clopidogrel 75 MG [DUALET]
43265702,Aspirin 100 MG / clopidogrel 75 MG [Duocover]
36504299,Aspirin 100 MG / clopidogrel 75 MG [DUOPLAVIN]
43282060,Aspirin 100 MG / clopidogrel 75 MG [Duoplidogrel]
2933756,aspirin 100 MG / clopidogrel 75 MG [Duoprel]
42949873,Aspirin 100 MG / clopidogrel 75 MG [ERAVIX PLUS]
42949815,Aspirin 100 MG / clopidogrel 75 MG Extended Release Oral Capsule
42949847,Aspirin 100 MG / clopidogrel 75 MG Extended Release Oral Capsule [ACLORIN]
42949817,Aspirin 100 MG / clopidogrel 75 MG Extended Release Oral Capsule [ANAVIX DUO]
42949836,Aspirin 100 MG / clopidogrel 75 MG Extended Release Oral Capsule [ARIGREL]
42949837,Aspirin 100 MG / clopidogrel 75 MG Extended Release Oral Capsule [ASGREL]
42949828,Aspirin 100 MG / clopidogrel 75 MG Extended Release Oral Capsule [ASPIDO]
42949838,Aspirin 100 MG / clopidogrel 75 MG Extended Release Oral Capsule [ASPIGEL]
42949816,Aspirin 100 MG / clopidogrel 75 MG Extended Release Oral Capsule [ASPIREL DUO]
2072026,aspirin 100 MG / clopidogrel 75 MG Extended Release Oral Capsule [CLASPIN]
2072027,aspirin 100 MG / clopidogrel 75 MG Extended Release Oral Capsule [CLASPIN] by Korea Biochem
42949848,Aspirin 100 MG / clopidogrel 75 MG Extended Release Oral Capsule [CLAVIXIN DUO]
42949818,Aspirin 100 MG / clopidogrel 75 MG Extended Release Oral Capsule [CLEANVIX DUO]
42949819,Aspirin 100 MG / clopidogrel 75 MG Extended Release Oral Capsule [CLOAPIN]
42949849,Aspirin 100 MG / clopidogrel 75 MG Extended Release Oral Capsule [CLOBONS-A]
42949850,Aspirin 100 MG / clopidogrel 75 MG Extended Release Oral Capsule [CLOGREEN]
42949829,Aspirin 100 MG / clopidogrel 75 MG Extended Release Oral Capsule [CLOGREL A]
42949820,Aspirin 100 MG / clopidogrel 75 MG Extended Release Oral Capsule [CLOMIX]
42949839,Aspirin 100 MG / clopidogrel 75 MG Extended Release Oral Capsule [CLOPINA PLUS]
2013343,aspirin 100 MG / clopidogrel 75 MG Extended Release Oral Capsule [CLOPIO-A]
2013344,aspirin 100 MG / clopidogrel 75 MG Extended Release Oral Capsule [CLOPIO-A] by Whanin
42949840,Aspirin 100 MG / clopidogrel 75 MG Extended Release Oral Capsule [CLOPIREL DUO]
42949821,Aspirin 100 MG / clopidogrel 75 MG Extended Release Oral Capsule [CLOPIRIN]
42949830,Aspirin 100 MG / clopidogrel 75 MG Extended Release Oral Capsule [CLOREN]
42949831,Aspirin 100 MG / clopidogrel 75 MG Extended Release Oral Capsule [CLOSONE]
42949841,Aspirin 100 MG / clopidogrel 75 MG Extended Release Oral Capsule [CLOSPIRIN]
42949832,Aspirin 100 MG / clopidogrel 75 MG Extended Release Oral Capsule [CLOVEIN DUO]
42949842,Aspirin 100 MG / clopidogrel 75 MG Extended Release Oral Capsule [CLOZEX PLUS]
2013345,aspirin 100 MG / clopidogrel 75 MG Extended Release Oral Capsule [CLPIDO-A]
2013346,aspirin 100 MG / clopidogrel 75 MG Extended Release Oral Capsule [CLPIDO-A] by Mothers
42949833,Aspirin 100 MG / clopidogrel 75 MG Extended Release Oral Capsule [CLPIRIN]
42949851,Aspirin 100 MG / clopidogrel 75 MG Extended Release Oral Capsule [COPREGREL]
42949852,Aspirin 100 MG / clopidogrel 75 MG Extended Release Oral Capsule [CUROVIX DUO]
42949834,Aspirin 100 MG / clopidogrel 75 MG Extended Release Oral Capsule [DUALET]
42949835,Aspirin 100 MG / clopidogrel 75 MG Extended Release Oral Capsule [ERAVIX PLUS]
42949822,Aspirin 100 MG / clopidogrel 75 MG Extended Release Oral Capsule [HUROPIRIN]
2013347,aspirin 100 MG / clopidogrel 75 MG Extended Release Oral Capsule [K-CLO]
2013348,aspirin 100 MG / clopidogrel 75 MG Extended Release Oral Capsule [K-CLO] by KMS
2072028,aspirin 100 MG / clopidogrel 75 MG Extended Release Oral Capsule [NEW CLOPINE DUO]
2072029,aspirin 100 MG / clopidogrel 75 MG Extended Release Oral Capsule [NEW CLOPINE DUO] by Ahngook New Pharm
42949843,Aspirin 100 MG / clopidogrel 75 MG Extended Release Oral Capsule [NEWPIDO A]
42949844,Aspirin 100 MG / clopidogrel 75 MG Extended Release Oral Capsule [PIDOGEL DUO]
42949823,Aspirin 100 MG / clopidogrel 75 MG Extended Release Oral Capsule [PIDOGUL A]
2072030,aspirin 100 MG / clopidogrel 75 MG Extended Release Oral Capsule [PLAVEL DUO]
2072031,aspirin 100 MG / clopidogrel 75 MG Extended Release Oral Capsule [PLAVEL DUO] by Seoul
42949845,Aspirin 100 MG / clopidogrel 75 MG Extended Release Oral Capsule [PLPIRIN]
42949824,Aspirin 100 MG / clopidogrel 75 MG Extended Release Oral Capsule [PLVIX A]
42949846,Aspirin 100 MG / clopidogrel 75 MG Extended Release Oral Capsule [PRAVIX DUO]
42949825,Aspirin 100 MG / clopidogrel 75 MG Extended Release Oral Capsule [PRETO PLUS]
42949826,Aspirin 100 MG / clopidogrel 75 MG Extended Release Oral Capsule [SUPERPIRIN]
42949853,Aspirin 100 MG / clopidogrel 75 MG Extended Release Oral Capsule [TROMVIX A]
42949827,Aspirin 100 MG / clopidogrel 75 MG Extended Release Oral Capsule [YOUTHPIREL]
42949813,Aspirin 100 MG / clopidogrel 75 MG Extended Release Oral Tablet
42949814,Aspirin 100 MG / clopidogrel 75 MG Extended Release Oral Tablet [PLAVIX A]
42949860,Aspirin 100 MG / clopidogrel 75 MG [HUROPIRIN]
2013351,aspirin 100 MG / clopidogrel 75 MG [K-CLO]
2072033,aspirin 100 MG / clopidogrel 75 MG [NEW CLOPINE DUO]
42949881,Aspirin 100 MG / clopidogrel 75 MG [NEWPIDO A]
43265705,Aspirin 100 MG / clopidogrel 75 MG Oral Tablet
43292915,Aspirin 100 MG / clopidogrel 75 MG Oral Tablet Box of 100
2933662,aspirin 100 MG / clopidogrel 75 MG Oral Tablet Box of 100 by Apotex
2933661,aspirin 100 MG / clopidogrel 75 MG Oral Tablet Box of 100 by Medis
2933660,aspirin 100 MG / clopidogrel 75 MG Oral Tablet Box of 100 by Winthrop
43260280,Aspirin 100 MG / clopidogrel 75 MG Oral Tablet Box of 112
2933659,aspirin 100 MG / clopidogrel 75 MG Oral Tablet Box of 112 by Apotex
2933658,aspirin 100 MG / clopidogrel 75 MG Oral Tablet Box of 112 by Medis
2933657,aspirin 100 MG / clopidogrel 75 MG Oral Tablet Box of 112 by Winthrop
43254926,Aspirin 100 MG / clopidogrel 75 MG Oral Tablet Box of 14
2933682,aspirin 100 MG / clopidogrel 75 MG Oral Tablet Box of 14 by Apotex
2933681,aspirin 100 MG / clopidogrel 75 MG Oral Tablet Box of 14 by Medis
2933680,aspirin 100 MG / clopidogrel 75 MG Oral Tablet Box of 14 by Winthrop
43254925,Aspirin 100 MG / clopidogrel 75 MG Oral Tablet Box of 2
43292918,Aspirin 100 MG / clopidogrel 75 MG Oral Tablet Box of 28
43265707,Aspirin 100 MG / clopidogrel 75 MG Oral Tablet Box of 280
2933655,aspirin 100 MG / clopidogrel 75 MG Oral Tablet Box of 280 by APO
2933656,aspirin 100 MG / clopidogrel 75 MG Oral Tablet Box of 280 by Apotex
2933654,aspirin 100 MG / clopidogrel 75 MG Oral Tablet Box of 280 by Medis
2933653,aspirin 100 MG / clopidogrel 75 MG Oral Tablet Box of 280 by Winthrop
2933679,aspirin 100 MG / clopidogrel 75 MG Oral Tablet Box of 28 by Apotex
2933678,aspirin 100 MG / clopidogrel 75 MG Oral Tablet Box of 28 by Medis
2933677,aspirin 100 MG / clopidogrel 75 MG Oral Tablet Box of 28 by Winthrop
2933691,aspirin 100 MG / clopidogrel 75 MG Oral Tablet Box of 2 by Apotex
2933690,aspirin 100 MG / clopidogrel 75 MG Oral Tablet Box of 2 by Medis
2933689,aspirin 100 MG / clopidogrel 75 MG Oral Tablet Box of 2 by Winthrop
43260279,Aspirin 100 MG / clopidogrel 75 MG Oral Tablet Box of 30
43282066,Aspirin 100 MG / clopidogrel 75 MG Oral Tablet Box of 30 by Actavis
2933676,aspirin 100 MG / clopidogrel 75 MG Oral Tablet Box of 30 by APO
43282063,Aspirin 100 MG / clopidogrel 75 MG Oral Tablet Box of 30 by Apotex
43271208,Aspirin 100 MG / clopidogrel 75 MG Oral Tablet Box of 30 by Chemmart
2933675,aspirin 100 MG / clopidogrel 75 MG Oral Tablet Box of 30 by Medis
43282067,Aspirin 100 MG / clopidogrel 75 MG Oral Tablet Box of 30 by Sandoz
43287521,Aspirin 100 MG / clopidogrel 75 MG Oral Tablet Box of 30 by Terry White Chemists
2933674,aspirin 100 MG / clopidogrel 75 MG Oral Tablet Box of 30 by Winthrop
43254929,Aspirin 100 MG / clopidogrel 75 MG Oral Tablet Box of 4
2933688,aspirin 100 MG / clopidogrel 75 MG Oral Tablet Box of 4 by Apotex
2933687,aspirin 100 MG / clopidogrel 75 MG Oral Tablet Box of 4 by Medis
2933686,aspirin 100 MG / clopidogrel 75 MG Oral Tablet Box of 4 by Winthrop
43282064,Aspirin 100 MG / clopidogrel 75 MG Oral Tablet Box of 50
2933673,aspirin 100 MG / clopidogrel 75 MG Oral Tablet Box of 50 by Apotex
2933672,aspirin 100 MG / clopidogrel 75 MG Oral Tablet Box of 50 by Medis
2933671,aspirin 100 MG / clopidogrel 75 MG Oral Tablet Box of 50 by Winthrop
43265704,Aspirin 100 MG / clopidogrel 75 MG Oral Tablet Box of 56
2933670,aspirin 100 MG / clopidogrel 75 MG Oral Tablet Box of 56 by Apotex
2933669,aspirin 100 MG / clopidogrel 75 MG Oral Tablet Box of 56 by Winthrop
43276740,Aspirin 100 MG / clopidogrel 75 MG Oral Tablet Box of 7
2933685,aspirin 100 MG / clopidogrel 75 MG Oral Tablet Box of 7 by Apotex
2933684,aspirin 100 MG / clopidogrel 75 MG Oral Tablet Box of 7 by Medis
2933683,aspirin 100 MG / clopidogrel 75 MG Oral Tablet Box of 7 by Winthrop
43254927,Aspirin 100 MG / clopidogrel 75 MG Oral Tablet Box of 84
2933668,aspirin 100 MG / clopidogrel 75 MG Oral Tablet Box of 84 by Apotex
2933667,aspirin 100 MG / clopidogrel 75 MG Oral Tablet Box of 84 by Medis
2933666,aspirin 100 MG / clopidogrel 75 MG Oral Tablet Box of 84 by Winthrop
43265706,Aspirin 100 MG / clopidogrel 75 MG Oral Tablet Box of 98
2933665,aspirin 100 MG / clopidogrel 75 MG Oral Tablet Box of 98 by Apotex
2933664,aspirin 100 MG / clopidogrel 75 MG Oral Tablet Box of 98 by Medis
2933663,aspirin 100 MG / clopidogrel 75 MG Oral Tablet Box of 98 by Winthrop
43292916,Aspirin 100 MG / clopidogrel 75 MG Oral Tablet by Actavis
2933694,aspirin 100 MG / clopidogrel 75 MG Oral Tablet by APO
43282062,Aspirin 100 MG / clopidogrel 75 MG Oral Tablet by Apotex
43254924,Aspirin 100 MG / clopidogrel 75 MG Oral Tablet by Chemmart
2933693,aspirin 100 MG / clopidogrel 75 MG Oral Tablet by Medis
43282065,Aspirin 100 MG / clopidogrel 75 MG Oral Tablet by Sandoz
43265703,Aspirin 100 MG / clopidogrel 75 MG Oral Tablet by Terry White Chemists
2933692,aspirin 100 MG / clopidogrel 75 MG Oral Tablet by Winthrop
2933707,aspirin 100 MG / clopidogrel 75 MG Oral Tablet [Cloap]
2933697,aspirin 100 MG / clopidogrel 75 MG Oral Tablet [Cloap] Box of 100
2933696,aspirin 100 MG / clopidogrel 75 MG Oral Tablet [Cloap] Box of 112
2933703,aspirin 100 MG / clopidogrel 75 MG Oral Tablet [Cloap] Box of 14
2933706,aspirin 100 MG / clopidogrel 75 MG Oral Tablet [Cloap] Box of 2
2933702,aspirin 100 MG / clopidogrel 75 MG Oral Tablet [Cloap] Box of 28
2933695,aspirin 100 MG / clopidogrel 75 MG Oral Tablet [Cloap] Box of 280
2933701,aspirin 100 MG / clopidogrel 75 MG Oral Tablet [Cloap] Box of 30
2933705,aspirin 100 MG / clopidogrel 75 MG Oral Tablet [Cloap] Box of 4
2933700,aspirin 100 MG / clopidogrel 75 MG Oral Tablet [Cloap] Box of 50
2933704,aspirin 100 MG / clopidogrel 75 MG Oral Tablet [Cloap] Box of 7
2933699,aspirin 100 MG / clopidogrel 75 MG Oral Tablet [Cloap] Box of 84
2933698,aspirin 100 MG / clopidogrel 75 MG Oral Tablet [Cloap] Box of 98
43292924,Aspirin 100 MG / clopidogrel 75 MG Oral Tablet [Clopidogrel Plus Aspirin]
43282072,Aspirin 100 MG / clopidogrel 75 MG Oral Tablet [Clopidogrel Plus Aspirin] Box of 30
43276744,Aspirin 100 MG / clopidogrel 75 MG Oral Tablet [Clopidogrel Plus Aspirin] Box of 30 by Sterling
43292925,Aspirin 100 MG / clopidogrel 75 MG Oral Tablet [Clopidogrel Plus Aspirin] by Sterling
43287523,Aspirin 100 MG / clopidogrel 75 MG Oral Tablet [Coplavix]
43265709,Aspirin 100 MG / clopidogrel 75 MG Oral Tablet [Coplavix] Box of 100
43282071,Aspirin 100 MG / clopidogrel 75 MG Oral Tablet [Coplavix] Box of 112
43260285,Aspirin 100 MG / clopidogrel 75 MG Oral Tablet [Coplavix] Box of 14
43276741,Aspirin 100 MG / clopidogrel 75 MG Oral Tablet [Coplavix] Box of 2
43276742,Aspirin 100 MG / clopidogrel 75 MG Oral Tablet [Coplavix] Box of 28
43260287,Aspirin 100 MG / clopidogrel 75 MG Oral Tablet [Coplavix] Box of 280
43254932,Aspirin 100 MG / clopidogrel 75 MG Oral Tablet [Coplavix] Box of 30
43292922,Aspirin 100 MG / clopidogrel 75 MG Oral Tablet [Coplavix] Box of 4
43292923,Aspirin 100 MG / clopidogrel 75 MG Oral Tablet [Coplavix] Box of 50
43260286,Aspirin 100 MG / clopidogrel 75 MG Oral Tablet [Coplavix] Box of 56
43260284,Aspirin 100 MG / clopidogrel 75 MG Oral Tablet [Coplavix] Box of 7
43276743,Aspirin 100 MG / clopidogrel 75 MG Oral Tablet [Coplavix] Box of 84
43271210,Aspirin 100 MG / clopidogrel 75 MG Oral Tablet [Coplavix] Box of 98
43260281,Aspirin 100 MG / clopidogrel 75 MG Oral Tablet [Duocover]
43254931,Aspirin 100 MG / clopidogrel 75 MG Oral Tablet [Duocover] Box of 100
43260283,Aspirin 100 MG / clopidogrel 75 MG Oral Tablet [Duocover] Box of 112
43271209,Aspirin 100 MG / clopidogrel 75 MG Oral Tablet [Duocover] Box of 14
43282068,Aspirin 100 MG / clopidogrel 75 MG Oral Tablet [Duocover] Box of 2
43265708,Aspirin 100 MG / clopidogrel 75 MG Oral Tablet [Duocover] Box of 28
43282070,Aspirin 100 MG / clopidogrel 75 MG Oral Tablet [Duocover] Box of 280
43287522,Aspirin 100 MG / clopidogrel 75 MG Oral Tablet [Duocover] Box of 30
43282069,Aspirin 100 MG / clopidogrel 75 MG Oral Tablet [Duocover] Box of 4
43292919,Aspirin 100 MG / clopidogrel 75 MG Oral Tablet [Duocover] Box of 50
43292920,Aspirin 100 MG / clopidogrel 75 MG Oral Tablet [Duocover] Box of 56
43254930,Aspirin 100 MG / clopidogrel 75 MG Oral Tablet [Duocover] Box of 7
43260282,Aspirin 100 MG / clopidogrel 75 MG Oral Tablet [Duocover] Box of 84
43292921,Aspirin 100 MG / clopidogrel 75 MG Oral Tablet [Duocover] Box of 98
36509239,Aspirin 100 MG / clopidogrel 75 MG Oral Tablet [DUOPLAVIN]
36505060,Aspirin 100 MG / clopidogrel 75 MG Oral Tablet [DUOPLAVIN] Box of 100
36507176,Aspirin 100 MG / clopidogrel 75 MG Oral Tablet [DUOPLAVIN] Box of 100 by Allomedic
43254933,Aspirin 100 MG / clopidogrel 75 MG Oral Tablet [Duoplidogrel]
43265710,Aspirin 100 MG / clopidogrel 75 MG Oral Tablet [Duoplidogrel] Box of 30
2933720,aspirin 100 MG / clopidogrel 75 MG Oral Tablet [Duoprel]
2933710,aspirin 100 MG / clopidogrel 75 MG Oral Tablet [Duoprel] Box of 100
2933709,aspirin 100 MG / clopidogrel 75 MG Oral Tablet [Duoprel] Box of 112
2933716,aspirin 100 MG / clopidogrel 75 MG Oral Tablet [Duoprel] Box of 14
2933719,aspirin 100 MG / clopidogrel 75 MG Oral Tablet [Duoprel] Box of 2
2933715,aspirin 100 MG / clopidogrel 75 MG Oral Tablet [Duoprel] Box of 28
2933708,aspirin 100 MG / clopidogrel 75 MG Oral Tablet [Duoprel] Box of 280
2933714,aspirin 100 MG / clopidogrel 75 MG Oral Tablet [Duoprel] Box of 30
2933718,aspirin 100 MG / clopidogrel 75 MG Oral Tablet [Duoprel] Box of 4
2933713,aspirin 100 MG / clopidogrel 75 MG Oral Tablet [Duoprel] Box of 50
2933717,aspirin 100 MG / clopidogrel 75 MG Oral Tablet [Duoprel] Box of 7
2933712,aspirin 100 MG / clopidogrel 75 MG Oral Tablet [Duoprel] Box of 84
2933711,aspirin 100 MG / clopidogrel 75 MG Oral Tablet [Duoprel] Box of 98
43254928,Aspirin 100 MG / clopidogrel 75 MG Oral Tablet [Piax]
43292917,Aspirin 100 MG / clopidogrel 75 MG Oral Tablet [Piax] Box of 30
43282061,Aspirin 100 MG / clopidogrel 75 MG [Piax]
42949882,Aspirin 100 MG / clopidogrel 75 MG [PIDOGEL DUO]
42949861,Aspirin 100 MG / clopidogrel 75 MG [PIDOGUL A]
2072034,aspirin 100 MG / clopidogrel 75 MG [PLAVEL DUO]
42949883,Aspirin 100 MG / clopidogrel 75 MG [PLAVIX A]
42949884,Aspirin 100 MG / clopidogrel 75 MG [PLPIRIN]
42949862,Aspirin 100 MG / clopidogrel 75 MG [PLVIX A]
42949885,Aspirin 100 MG / clopidogrel 75 MG [PRAVIX DUO]
42949863,Aspirin 100 MG / clopidogrel 75 MG [PRETO PLUS]
42949864,Aspirin 100 MG / clopidogrel 75 MG [SUPERPIRIN]
42949892,Aspirin 100 MG / clopidogrel 75 MG [TROMVIX A]
42949865,Aspirin 100 MG / clopidogrel 75 MG [YOUTHPIREL]
43742913,Aspirin 100 MG / clopidogrel 97.9 MG [Clopidogrel Abz]
43689020,Aspirin 100 MG / clopidogrel 97.9 MG [Clopidogrel Hydrochlorid Hexal]
40861441,Aspirin 100 MG / clopidogrel 97.9 MG [Duocover]
41048467,Aspirin 100 MG / clopidogrel 97.9 MG [DUOPLAVIN]
43634968,Aspirin 100 MG / clopidogrel 97.9 MG Oral Tablet
40900892,Aspirin 100 MG / clopidogrel 97.9 MG Oral Tablet Box of 100
41213477,Aspirin 100 MG / clopidogrel 97.9 MG Oral Tablet Box of 28
41088265,Aspirin 100 MG / clopidogrel 97.9 MG Oral Tablet Box of 280
43796715,Aspirin 100 MG / clopidogrel 97.9 MG Oral Tablet by Billev
43616815,Aspirin 100 MG / clopidogrel 97.9 MG Oral Tablet [Clopidogrel Abz]
43653047,Aspirin 100 MG / clopidogrel 97.9 MG Oral Tablet [Clopidogrel Abz] by Billev
43742914,Aspirin 100 MG / clopidogrel 97.9 MG Oral Tablet [Clopidogrel Hydrochlorid Hexal]
41287416,Aspirin 100 MG / clopidogrel 97.9 MG Oral Tablet [Clopidogrel Hydrochlorid Hexal] Box of 100
40981786,Aspirin 100 MG / clopidogrel 97.9 MG Oral Tablet [Clopidogrel Hydrochlorid Hexal] Box of 100 by Novartis
41163101,Aspirin 100 MG / clopidogrel 97.9 MG Oral Tablet [Clopidogrel Hydrochlorid Hexal] Box of 28
40981787,Aspirin 100 MG / clopidogrel 97.9 MG Oral Tablet [Clopidogrel Hydrochlorid Hexal] Box of 28 by Novartis
43580853,Aspirin 100 MG / clopidogrel 97.9 MG Oral Tablet [Clopidogrel Hydrochlorid Hexal] by Hexal
41318814,Aspirin 100 MG / clopidogrel 97.9 MG Oral Tablet [Duocover]
41287415,Aspirin 100 MG / clopidogrel 97.9 MG Oral Tablet [Duocover] Box of 100
41232035,Aspirin 100 MG / clopidogrel 97.9 MG Oral Tablet [Duocover] Box of 100 by Sanofi
40944312,Aspirin 100 MG / clopidogrel 97.9 MG Oral Tablet [Duocover] Box of 28
41194397,Aspirin 100 MG / clopidogrel 97.9 MG Oral Tablet [Duocover] Box of 280
41262757,Aspirin 100 MG / clopidogrel 97.9 MG Oral Tablet [Duocover] Box of 28 by Eurim-Pharm
40919483,Aspirin 100 MG / clopidogrel 97.9 MG Oral Tablet [Duocover] Box of 28 by Sanofi
40850748,Aspirin 100 MG / clopidogrel 97.9 MG Oral Tablet [DUOPLAVIN]
41225429,Aspirin 100 MG / clopidogrel 97.9 MG Oral Tablet [DUOPLAVIN] Box of 100
41293943,Aspirin 100 MG / clopidogrel 97.9 MG Oral Tablet [DUOPLAVIN] Box of 100 by 2care4
40919481,Aspirin 100 MG / clopidogrel 97.9 MG Oral Tablet [DUOPLAVIN] Box of 100 by ADL
41232037,Aspirin 100 MG / clopidogrel 97.9 MG Oral Tablet [DUOPLAVIN] Box of 100 by B2B
41232034,Aspirin 100 MG / clopidogrel 97.9 MG Oral Tablet [DUOPLAVIN] Box of 100 by Bb Farma
41293946,Aspirin 100 MG / clopidogrel 97.9 MG Oral Tablet [DUOPLAVIN] Box of 100 by Emra-Med
